Ticker,Close,Confidence,Sentiment_Score,Signal_Pool,generated_at,price_date
SNDK,1740.0,46.21,0.18080534636974335,long,2026-09-11T15:55:52Z,2026-09-11
SMCI,39.59000015258789,46.14,0.08749044537544251,long,2026-09-11T15:55:52Z,2026-09-11
COHR,281.8599853515625,45.71,0.1819296658039093,long,2026-09-11T15:55:52Z,2026-09-11
PCG,14.300000190734863,45.69,-0.7018735408782959,long,2026-09-11T15:55:52Z,2026-09-11
MRVL,223.5500030517578,45.64,0.0,long,2026-09-11T15:55:52Z,2026-09-11
LITE,881.2550048828125,45.6,0.09069384932518006,long,2026-09-11T15:55:52Z,2026-09-11
DELL,524.1400146484375,45.57,0.461228609085083,long,2026-09-11T15:55:52Z,2026-09-11
TER,357.0299987792969,45.56,-0.0869524876276652,long,2026-09-11T15:55:52Z,2026-09-11
CIEN,321.0,45.53,0.015503942966461182,long,2026-09-11T15:55:52Z,2026-09-11
PANW,333.260009765625,45.53,-0.1423259347677231,long,2026-09-11T15:55:52Z,2026-09-11
DDOG,212.92999267578125,45.53,0.3531280855337779,long,2026-09-11T15:55:52Z,2026-09-11
CRWD,213.10000610351562,45.53,0.023164129257202147,long,2026-09-11T15:55:52Z,2026-09-11
AXON,515.6699829101562,45.53,-0.20084381103515625,long,2026-09-11T15:55:52Z,2026-09-11
STX,849.280029296875,45.49,0.2280818521976471,long,2026-09-11T15:55:52Z,2026-09-11
WDC,467.3099670410156,45.49,0.01885349154472351,long,2026-09-11T15:55:52Z,2026-09-11
FRT,117.08999633789062,8.02,0.5580498576164246,short,2026-09-11T15:55:52Z,2026-09-11
BRK-B,506.0299987792969,7.92,0.0744581937789917,short,2026-09-11T15:55:52Z,2026-09-11
WBD,28.25,7.77,-0.04520793259143829,short,2026-09-11T15:55:52Z,2026-09-11
TECH,72.43000030517578,5.75,-0.9696547985076904,short,2026-09-11T15:55:52Z,2026-09-11
AES,14.789999961853027,5.36,0.880939781665802,short,2026-09-11T15:55:52Z,2026-09-11
